id,title,genre,description
1,Interstellar Journey,Sci-Fi,"An astronaut travels through a wormhole in space to find a new home for humanity, exploring time dilation and distant planets."
2,Cyber City 2099,Sci-Fi,"A neo-noir cyberpunk detective hunts down rogue artificial intelligence and replicants in a rain-slicked, neon-lit future metropolis."
3,The Quantum Paradox,Sci-Fi,"A brilliant physicist accidentally triggers a time loop, forcing her to solve a reality-bending quantum mystery to save her timeline."
4,Martian Horizon,Sci-Fi,"An astronaut is left stranded on a barren red planet and must use science, engineering, and sheer willpower to survive and contact Earth."
5,Starlight Odyssey,Sci-Fi,A spaceship crew encounters a mysterious alien artifact at the edge of the galaxy that challenges their perception of reality.
6,Artificial Soul,Sci-Fi,"A tech CEO builds a highly advanced humanoid android, leading to a deep psychological battle over consciousness and human emotion."
7,Dark Matter,Sci-Fi,"Astronauts explore a derelict spaceship only to discover a terrifying energy source that distorts space, gravity, and human minds."
8,Galaxy Alliance,Sci-Fi,"A young pilot joins a rebel fleet to fight an oppressive galactic empire, engaging in epic space dogfights and interstellar battles."
9,Parallel Skies,Sci-Fi,"A scientist discovers a portal to a parallel universe where earth is ruled by advanced, benevolent technological beings."
10,The Machine Mind,Sci-Fi,A supercomputer designed to govern a utopian city decides that humanity must be controlled for its own preservation.
11,Speed Limit,Action,A high-octane action thriller about a rogue cop chasing bank robbers through city streets in fast cars and explosive encounters.
12,Shadow Agent,Action,"An elite black-ops spy is betrayed by his agency and must go on the run, using close-quarters combat and stealth to uncover a conspiracy."
13,The Last Gladiator,Action,An epic historical action movie about a betrayed warrior fighting for survival and vengeance in brutal colosseum arena battles.
14,Underworld War,Action,"A vigilante wages a one-man war against a powerful crime syndicate, featuring stylized gunfights and martial arts choreography."
15,Apex Predator,Action,"A group of mercenaries on a rescue mission in a dense tropical jungle find themselves hunted by a mysterious, stealthy beast."
16,Midnight Run,Action,A mercenary is hired to transport a high-value target across a war-torn urban wasteland while evading heavily armed gangs.
17,Iron Fist,Action,"A martial arts expert returns home to avenge his master's death, entering a deadly underground tournament ruled by corrupt bosses."
18,Skyline Heist,Action,A team of professional thieves plans a daring robbery of a high-security vault located on the top floor of a futuristic skyscraper.
19,Rogue Command,Action,"A squad of elite soldiers is sent behind enemy lines to dismantle a nuclear launch facility, encountering heavy military resistance."
20,Urban Justice,Action,A retired detective returns to the streets to clean up his neighborhood after his former partner is murdered by street gangs.
21,Summer in Paris,Romance,A charming romantic drama about an American artist and a French writer meeting by chance and falling in love over one summer in Paris.
22,Letters to You,Romance,"A heartwarming love story centered on two pen pals who exchange letters for decades, sharing life's triumphs and heartbreaks before finally meeting."
23,Waves of Love,Romance,"A small-town surfer falls in love with a visiting marine biologist, overcoming family expectations and contrasting lifestyles."
